run,part,model,backend,transition,polynomial_degree,approximation_interval,fit_method,pin_zero,polynomial_trainable,finetuning_mode,token_budget,tokens_seen,n_trainable_params,eval_data,eval_tokens,validation_loss,perplexity,exact_perplexity,delta_perplexity,starting_perplexity,recovered_fraction,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,estimated_ct_ct_depth,n_degenerate_heads,training_hours,peak_gpu_memory_gb,seed
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,exact,,,,,False,none,0,0,,wikitext2,,3.1020052604389408,22.24250861456986,,0.0,,,0.0,1.0,0.0,0.0,0.0,-263700.03125,n/a (transcendental),,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly2,2,"[-8,0]",chebyshev,False,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.05947786569595337,387122976.0,0.0007476806640625,0.004136827256944444,0.7916666666666666,-130085.734375,1,,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly3,3,"[-8,0]",chebyshev,False,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-17412022861824.0,0.8958911299705505,0.005467732747395833,0.0,0.7916666666666666,-138995.40625,2,,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly4,4,"[-8,0]",chebyshev,False,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.009674549102783203,6.107205038327726e+17,0.00020853678385416666,0.0043487548828125,0.7916666666666666,-143401.140625,2,,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly2,2,"[-8,0]",chebyshev,True,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.480185866355896,1332368128.0,0.0019056532118055555,0.004406399197048611,0.7916666666666666,-130474.7578125,1,,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly3,3,"[-8,0]",chebyshev,True,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-41010059018240.0,1.0,0.005669487847222222,0.0,0.7916666666666666,-133128.453125,2,,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly4,4,"[-8,0]",chebyshev,True,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.07582426071166992,1.0655696351070781e+18,0.00033738878038194444,0.004347059461805556,0.7916666666666666,-134531.984375,2,,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly2,2,per-head,chebyshev,True,False,none,0,0,,wikitext2,,3.1018577916259367,22.23922878006883,,-0.0032798345010291996,,,-0.125,3.384486198425293,0.0013766253436053241,3.5321270978009257e-07,0.0,-263245.65625,1,1,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly3,3,per-head,chebyshev,True,False,none,0,0,,wikitext2,,3.101858712423504,22.23924925790602,,-0.0032593566638396965,,,-14.724655151367188,1.0,0.007669138025354456,0.0,0.0,-263698.125,2,1,,nan,0
runs/part7_zero_training,7 (no training),state-spaces/mamba2-130m,local,poly4,4,per-head,chebyshev,True,False,none,0,0,,wikitext2,,3.101979828129455,22.241942943400222,,-0.0005656711696389038,,,-0.19417792558670044,69.28739929199219,0.008190225671838832,1.1444091796875e-06,0.0,-263741.53125,2,1,,nan,0
runs/part9_finetune/control_exact_modeA_100000tok,9 (fine-tuning),state-spaces/mamba2-130m,local,exact,,,chebyshev,False,False,A,100000,100352,1728,wikitext2,49152,3.0454519103427167,21.01952799896946,21.51020268076712,-0.4906746817976604,21.51020268076712,nan,0.0,1.0,0.0,0.0,0.0,-135385.078125,n/a (transcendental),,0.07753686328728994,nan,0
runs/part9_finetune/poly2_per-head_pin0_modeA_100000tok,9 (fine-tuning),state-spaces/mamba2-130m,local,poly2,2,per-head,chebyshev,True,False,A,100000,100352,1728,wikitext2,49152,3.045450642505893,21.019501349654742,21.51020268076712,-0.49070133111237624,21.497138502629504,-36.56082670822832,-0.12499988079071045,1.0,0.0012329949273003472,0.0,0.0,-137261.4375,1,,0.09230033106274076,nan,0
runs/part9_finetune/poly2_per-head_pin0_modeB_100000tok,9 (fine-tuning),state-spaces/mamba2-130m,local,poly2,2,per-head,chebyshev,True,True,B,100000,100352,3456,wikitext2,49152,3.0544123744374185,21.2087190789886,21.51020268076712,-0.30148360177851785,21.497138502629504,-22.077119632231252,-0.12595033645629883,1.0006928443908691,0.023598141140407987,0.02338960435655382,0.0,-137321.9375,1,,0.0733286417192883,nan,0
