run,part,model,backend,transition,polynomial_degree,approximation_interval,fit_method,pin_zero,polynomial_trainable,finetuning_mode,token_budget,tokens_seen,n_trainable_params,eval_data,eval_tokens,validation_loss,perplexity,exact_perplexity,delta_perplexity,starting_perplexity,recovered_fraction,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,estimated_ct_ct_depth,n_degenerate_heads,training_hours,peak_gpu_memory_gb,seed
runs/gpu/part10_distill/poly2_per-head_pin0_modeA_kd1_T2_tr0_1000000tok,10 (distillation),state-spaces/mamba2-130m,official,poly2,2,per-head,chebyshev,True,False,A,1000000,,1728,wikitext2,122880,3.107111759129857,22.35638045143929,22.243223995989787,0.11315645544950215,22.270212730760502,-3.192729166848064,-0.12375926971435547,1.0,0.0006044175889756945,0.0,0.0,-136641.765625,1,,0.0783256897661421,12.50875186920166,0
runs/gpu/part10_distill/poly2_per-head_pin0_modeA_kd1_T2_tr1_1000000tok,10 (distillation),state-spaces/mamba2-130m,official,poly2,2,per-head,chebyshev,True,False,A,1000000,,1728,wikitext2,122880,3.107111888399494,22.35638334144067,22.243223995989787,0.11315934545088169,22.270212730760502,-3.192836248613997,-0.12375879287719727,1.0,0.0006048414442274305,0.0,0.0,-136642.09375,1,,0.07931868917412228,12.51754093170166,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,exact,,,,,False,none,0,0,,wikitext2,,3.1648115375062096,23.684280013719203,,0.0,,,0.0,1.0,0.0,0.0,0.0,-263700.25,n/a (transcendental),,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly2,2,"[-8,0]",chebyshev,False,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.059477806091308594,529296384.0,0.0007091098361545139,0.004045698377821181,0.7916666666666666,-152107.921875,1,,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly3,3,"[-8,0]",chebyshev,False,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-23444060110848.0,0.8958911299705505,0.005284203423394097,0.0,0.7916666666666666,-153482.90625,2,,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly4,4,"[-8,0]",chebyshev,False,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.009675264358520508,6.184680750789427e+17,0.00021277533637152778,0.004253387451171875,0.7916666666666666,-143853.78125,2,,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly2,2,"[-8,0]",chebyshev,True,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.4802037477493286,1381863168.0,0.001933627658420139,0.004359775119357639,0.7916666666666666,-132876.03125,1,,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly3,3,"[-8,0]",chebyshev,True,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-41010100961280.0,1.0,0.005608876546223958,0.0,0.7916666666666666,-133128.5,2,,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly4,4,"[-8,0]",chebyshev,True,False,none,0,0,,wikitext2,,nan,inf,,inf,,,-0.07583045959472656,1.0655696351070781e+18,0.0003407796223958333,0.004300435384114583,0.7916666666666666,-134531.984375,2,,,2.7917227745056152,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly2,2,per-head,chebyshev,True,False,none,0,0,,wikitext2,,3.166293020361351,23.719393872363373,,0.03511385864416994,,,-0.12499988079071045,1.1160545349121094,0.00043478515847350296,6.948446749772313e-09,0.0,-263166.8125,1,0,,2.7917685508728027,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly3,3,per-head,chebyshev,True,False,none,0,0,,wikitext2,,3.164796048623714,23.683913173530055,,-0.000366840189148121,,,-4.039894104003906,1.0,0.006347593713979252,0.0,0.0,-263724.75,2,0,,2.7917685508728027,0
runs/gpu/part7_zero_training,7 (no training),state-spaces/mamba2-130m,official,poly4,4,per-head,chebyshev,True,False,none,0,0,,wikitext2,,3.164825864429094,23.68461933900327,,0.0003393252840666605,,,-0.19417782127857208,12.956336975097656,0.008441911151934626,6.948446749772313e-09,0.0,-263731.53125,2,0,,2.7917685508728027,0
runs/gpu/part9_finetune/control_exact_modeA_1000000tok,9 (fine-tuning),state-spaces/mamba2-130m,official,exact,,,chebyshev,False,False,A,1000000,1001472,1728,wikitext2,122880,3.0536797974388543,21.193187748864524,22.243221872637157,-1.0500341237726332,22.243221872637157,nan,0.0,1.0,0.0,0.0,0.0,-137678.359375,n/a (transcendental),,0.05816980957984924,10.971002101898193,0
