corpus,transition,degree,loss,perplexity,delta_ppl,n_eval_tokens,frac_z_outside_interval,frac_z_below_interval,a_min,frac_a_lt_0,frac_a_gt_1,z_min,n_z_values,frac_z_above_interval,a_max,frac_a_nan
wikitext2,exact,,3.107040996532869,22.354798511871035,0.0,249856,,,,,,,,,,
wikitext2,poly2,2,3.1078835227272728,22.37364095169785,0.018842439826816104,249856,2.848307291666667e-06,2.3057725694444445e-06,-0.1249997615814209,0.0007344733344184028,0.0,-263148.96875,58982400,5.425347222222222e-07,1.0,0.0
wikitext2,poly3,3,3.1070421611528594,22.35482454673142,2.603486038665892e-05,249856,2.8822157118055555e-06,2.322726779513889e-06,-1.7003908157348633,0.007488691541883681,0.0,-263728.65625,58982400,5.594889322916667e-07,1.0,0.0
wikitext2,poly4,4,3.1070827605694036,22.355732157989085,0.0009336461180495803,249856,2.9330783420138887e-06,2.339680989583333e-06,-0.1941780298948288,0.0082464599609375,6.781684027777778e-08,-263728.46875,58982400,5.933973524305556e-07,4.372417449951172,0.0
pile,exact,,2.454676564981977,11.642667293536945,0.0,15367168,,,,,,,,,,
pile,poly2,2,2.462276631613514,11.7314894403159,0.08882214677895384,15367168,0.00016082763671875,0.00013561672634548611,-0.12500011920928955,0.0011929660373263889,2.44140625e-06,-244923.84375,58982400,2.521091037326389e-05,15.77010440826416,0.0
pile,poly3,3,2.4568204490087364,11.667654597346557,0.02498730380961156,15367168,0.00016138712565104166,0.00013580322265625,-130.73118591308594,0.008290337456597222,0.0,-244933.65625,58982400,2.5583902994791668e-05,1.0,0.0
pile,poly4,4,2.455812623144245,11.655901556769347,0.013234263232401844,15367168,0.00016104804144965277,0.00013551500108506943,-0.19417786598205566,0.008770870632595486,1.7462836371527778e-06,-244855.015625,58982400,2.5533040364583333e-05,1169.6480712890625,0.0
lambada,exact,,3.2792646856671555,26.55623833613031,0.0,428032,,,,,,,,,,
lambada,poly2,2,3.286832539100684,26.757974447440205,0.201736111309895,428032,0.00011242336697048611,0.000107879638671875,-0.12499880790710449,0.0024030897352430554,3.0517578125e-07,-233653.203125,58982400,4.543728298611111e-06,2.8082761764526367,0.0
lambada,poly3,3,3.281133213434751,26.605905792924606,0.04966745679429607,428032,0.0001153564453125,0.00011074490017361112,-7.772500991821289,0.012633599175347222,0.0,-233140.296875,58982400,4.611545138888889e-06,1.0,0.0
lambada,poly4,4,3.27967464144978,26.567127451476356,0.010889115346046196,428032,0.00011547512478298611,0.00011088053385416667,-0.19417792558670044,0.009375983344184028,5.764431423611111e-07,-233076.046875,58982400,4.594590928819444e-06,28.704879760742188,0.0
