transition,degree,interval_mode,interval,pin_zero,fit_method,fhe_depth_estimate,validation_loss,perplexity,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,n_degenerate_heads,wall_seconds,peak_gpu_memory_gb,delta_perplexity,delta_loss
exact,,,,,,n/a (transcendental),2.4320363070281954,11.382035817471905,0.0,1.0,0.0,0.0,0.0,-2763.994873046875,,48.896055459976196,6.163971424102783,0.0,0.0
poly2,2,global,"[-8,0]",False,chebyshev,1,nan,inf,-0.05947786569595337,12572.4541015625,0.0002562204996744792,0.0003331502278645833,0.3125,-747.148681640625,,0.8708829879760742,6.163971424102783,inf,nan
poly3,3,global,"[-8,0]",False,chebyshev,2,nan,inf,-1102873.875,0.8958887457847595,0.0007721583048502604,0.0,0.3125,-559.5194091796875,,0.8702607154846191,6.163971424102783,inf,nan
poly4,4,global,"[-8,0]",False,chebyshev,2,nan,inf,-0.009673833847045898,128786568.0,5.038579305013021e-05,0.00034809112548828125,0.3125,-551.7501220703125,,0.8710842132568359,6.163971424102783,inf,nan
poly2,2,global,"[-8,0]",True,chebyshev,1,nan,inf,-0.48020386695861816,27920.15234375,0.0023366610209147134,0.0003744761149088542,0.3125,-601.6074829101562,,0.8710155487060547,6.163971424102783,inf,nan
poly3,3,global,"[-8,0]",True,chebyshev,2,nan,inf,-4334779.5,0.9999999403953552,0.0019326210021972656,0.0,0.3125,-633.87451171875,,0.8697760105133057,6.163971424102783,inf,nan
poly4,4,global,"[-8,0]",True,chebyshev,2,nan,inf,-0.07582902908325195,488318880.0,8.742014567057292e-05,0.00036207834879557293,0.3125,-626.93310546875,,0.8709635734558105,6.163971424102783,inf,nan
poly2,2,per-head,per-head,True,chebyshev,1,2.4309743144015763,11.369954595577585,-0.125,6.556141376495361,6.905237833658854e-05,2.09808349609375e-07,0.0,-2770.7890625,0,44.28063774108887,6.164085865020752,-0.012081221894320038,-0.0010619926266191015
poly3,3,per-head,per-head,True,chebyshev,2,2.4313927900476537,11.374713640375562,-31.662616729736328,1.0,0.0004009564717610677,0.0,0.0,-2759.80810546875,0,44.72325825691223,6.164085865020752,-0.0073221770963431965,-0.0006435169805416585
poly4,4,per-head,per-head,True,chebyshev,2,2.4319113490308832,11.380613629929524,-0.19417794048786163,184.01046752929688,0.0008809693654378255,3.178914388020833e-07,0.0,-2759.333740234375,0,44.70316481590271,6.164108753204346,-0.0014221875423814367,-0.0001249579973121584
