margin,degree,ppl,delta_ppl
0.0,2,22.357418368742707,0.002617084959069871
0.0,3,22.355707368138727,0.0009060843550905417
0.0,4,22.355323610281598,0.0005223264979612452
0.1,2,22.361901704721188,0.007100420937550922
0.1,3,22.35541421918156,0.0006129353979247298
0.1,4,22.355499498481713,0.0006982146980760717
0.25,2,22.373644734195913,0.018843450412276752
0.25,3,22.35482793279931,2.6649015673285703e-05
0.25,4,22.355728688212835,0.0009274044291984751
0.5,2,22.40948251193313,0.05468122814949439
0.5,3,22.354012487306626,-0.0007887964770105782
0.5,4,22.355883259358187,0.0010819755745501425
1.0,2,22.792884248118522,0.43808296433488536
1.0,3,22.393881518175576,0.03908023439193897
1.0,4,22.36234422300454,0.007542939220904543
