transition,label,interval_mode,pin_zero,degree,fhe_depth,seq_len,a_min,a_max,frac_a_lt_0,frac_a_gt_1,frac_a_nan,frac_a_inf,z_min,max_state_norm,worst_layer_a_min,max_state_norm_layer
exact,exact,global,False,,n/a (transcendental),128,0.0,1.0,0.0,0.0,0.0,0.0,-129690.890625,922.6454467773438,4,7
exact,exact,global,False,,n/a (transcendental),512,0.0,1.0,0.0,0.0,0.0,0.0,-135117.265625,877.79248046875,4,7
exact,exact,global,False,,n/a (transcendental),1024,0.0,1.0,0.0,0.0,0.0,0.0,-179766.0,964.4019775390625,4,7
exact,exact,global,False,,n/a (transcendental),2048,0.0,1.0,0.0,0.0,0.0,0.0,-179766.0,975.3684692382812,4,4
poly2,poly2,global,False,2,1,128,-0.05947768688201904,387121056.0,0.0007375081380208334,0.004130045572916667,0.7916666666666666,0.0,-130085.40625,307.1717529296875,4,3
poly2,poly2,global,False,2,1,512,-0.059477806091308594,529295200.0,0.0007052951388888889,0.004045274522569444,0.7916666666666666,0.0,-152107.75,332.99639892578125,2,3
poly2,poly2,global,False,2,1,1024,-0.05947798490524292,979593472.0,0.000725004408094618,0.004044850667317708,0.7916666666666666,0.0,-206928.78125,468.3935241699219,2,3
poly2,poly2,global,False,2,1,2048,-0.05947798490524292,979593472.0,0.000739945305718316,0.004010200500488281,0.7916666666666666,0.0,-206928.78125,394.152099609375,2,3
poly4,poly4,global,False,4,2,128,-0.009674787521362305,5.6903523488497664e+17,0.00017801920572916666,0.004291110568576389,0.7916666666666666,0.0,-140889.0,32534.751953125,2,2
poly4,poly4,global,False,4,2,512,-0.009675264358520508,6.184671130062684e+17,0.00021023220486111112,0.004245334201388889,0.7916666666666666,0.0,-143853.71875,448.60113525390625,2,3
poly4,poly4,global,False,4,2,1024,-0.009675264358520508,2.361761696701219e+18,0.00020387437608506944,0.0042819976806640625,0.7916666666666666,0.0,-201092.75,557.94970703125,2,3
poly4,poly4,global,False,4,2,2048,-0.009675264358520508,2.361766919381451e+18,0.00020705329047309028,0.0042951371934678816,0.7916666666666666,0.0,-201092.859375,433.8404846191406,2,3
poly2,poly2/per-head/pin0,per-head,True,2,1,128,-0.12466251850128174,0.9999998807907104,0.0002933078342013889,0.0,0.0,0.0,-130739.1328125,944.4755859375,19,7
poly2,poly2/per-head/pin0,per-head,True,2,1,512,-0.12466228008270264,1.0,0.0004730224609375,0.0,0.0,0.0,-135286.828125,883.75439453125,19,7
poly2,poly2/per-head/pin0,per-head,True,2,1,1024,-0.12466228008270264,1.0,0.00044144524468315975,0.0,0.0,0.0,-176637.546875,979.0238037109375,19,7
poly2,poly2/per-head/pin0,per-head,True,2,1,2048,-0.12489092350006104,1.0,0.0005164676242404514,0.0,0.0,0.0,-176637.546875,986.7547607421875,19,4
poly3,poly3/per-head/pin0,per-head,True,3,2,128,-0.17600709199905396,0.9999999403953552,0.005449083116319444,0.0,0.0,0.0,-129562.65625,925.2432861328125,2,7
poly3,poly3/per-head/pin0,per-head,True,3,2,512,-0.17600688338279724,1.0,0.006441752115885417,0.0,0.0,0.0,-134852.90625,877.6376342773438,2,7
poly3,poly3/per-head/pin0,per-head,True,3,2,1024,-0.17600688338279724,1.0,0.0061520470513237845,0.0,0.0,0.0,-179002.296875,966.1043701171875,2,7
poly3,poly3/per-head/pin0,per-head,True,3,2,2048,-0.17604821920394897,1.0,0.006556510925292969,0.0,0.0,0.0,-179002.296875,976.6018676757812,4,4
poly4,poly4/per-head/pin0,per-head,True,4,2,128,-0.19414953887462616,0.9999999403953552,0.0080108642578125,0.0,0.0,0.0,-129601.796875,923.6644897460938,20,7
poly4,poly4/per-head/pin0,per-head,True,4,2,512,-0.1941741704940796,1.0,0.008697509765625,0.0,0.0,0.0,-134963.5625,877.7708129882812,23,7
poly4,poly4/per-head/pin0,per-head,True,4,2,1024,-0.1941775679588318,1.0,0.008335749308268229,0.0,0.0,0.0,-179542.140625,965.0812377929688,19,7
poly4,poly4/per-head/pin0,per-head,True,4,2,2048,-0.19417697191238403,1.0,0.008863131205240885,0.0,0.0,0.0,-179542.140625,975.7962646484375,19,4
