seqlen,transition,degree,ct_ct_depth,z_min,z_max,rel_state_error_final,rel_state_error_overall,max_rel_state_error_over_t,mean_abs_transition_error,max_abs_transition_error,max_state_norm,final_state_norm_mean,a_min,a_max,frac_a_lt_0,frac_a_gt_1,has_nan,has_inf
16,exact,,,-1.4111440181732178,-0.0004544745897874236,0.0,0.0,0.0,0.0,0.0,0.557247519493103,0.38258272409439087,0.24386413395404816,0.9995456337928772,0.0,0.0,False,False
16,P2,2,1,-1.4111440181732178,-0.0004544745897874236,0.38954591751098633,0.3527616560459137,0.732239842414856,0.09237949550151825,0.302115261554718,0.5714504718780518,0.48928022384643555,0.5436550974845886,0.9998337030410767,0.0,0.0,False,False
16,P3,3,2,-1.4111440181732178,-0.0004544745897874236,0.1373918652534485,0.1277206689119339,0.2587815821170807,0.03967863693833351,0.10346469283103943,0.5599476099014282,0.41636794805526733,0.3054886758327484,0.9997013807296753,0.0,0.0,False,False
16,P4,4,2,-1.4111440181732178,-0.0004544745897874236,0.03405022993683815,0.03400574252009392,0.0820733904838562,0.011818092316389084,0.02831292152404785,0.5581089854240417,0.39066147804260254,0.2308928221464157,0.9996115565299988,0.0,0.0,False,False
64,exact,,,-1.5761282444000244,-0.00035790179390460253,0.0,0.0,0.0,0.0,0.0,0.8095427751541138,0.33299678564071655,0.20677413046360016,0.9996421337127686,0.0,0.0,False,False
64,P2,2,1,-1.5761282444000244,-0.00035790179390460253,0.7499970197677612,0.6294308304786682,1.175742745399475,0.09248416870832443,0.3029981255531311,0.9249321222305298,0.5449450016021729,0.4981326460838318,0.9998690485954285,0.0,0.0,False,False
64,P3,3,2,-1.5761282444000244,-0.00035790179390460253,0.2641199231147766,0.20658312737941742,0.3832798898220062,0.04063870757818222,0.10346552729606628,0.8436798453330994,0.4144177734851837,0.25155285000801086,0.9997648000717163,0.0,0.0,False,False
64,P4,4,2,-1.5761282444000244,-0.00035790179390460253,0.09193047881126404,0.06360036134719849,0.11328952014446259,0.012482063844799995,0.02831292152404785,0.8202580213546753,0.36220604181289673,0.1858200877904892,0.9996941089630127,0.0,0.0,False,False
256,exact,,,-2.092733860015869,-6.264705734793097e-05,0.0,0.0,0.0,0.0,0.0,3.215663194656372,0.6918293237686157,0.12334945797920227,0.9999373555183411,0.0,0.0,False,False
256,P2,2,1,-2.092733860015869,-6.264705734793097e-05,1.1583385467529297,0.9209237694740295,3.1072585582733154,0.09267981350421906,0.30319148302078247,3.517641067504883,1.4085283279418945,0.3661949336528778,0.9999770522117615,0.0,0.0,False,False
256,P3,3,2,-2.092733860015869,-6.264705734793097e-05,0.37341928482055664,0.32830536365509033,0.829007089138031,0.04068518057465553,0.10346612334251404,3.2850914001464844,0.9186742305755615,0.1139499694108963,0.9999588131904602,0.0,0.0,False,False
256,P4,4,2,-2.092733860015869,-6.264705734793097e-05,0.11892609298229218,0.10821275413036346,0.23932597041130066,0.012581625953316689,0.037463173270225525,3.2308382987976074,0.7636624574661255,0.08588628470897675,0.9999464154243469,0.0,0.0,False,False
1024,exact,,,-4.125150203704834,-1.2566927580337506e-05,0.0,0.0,0.0,0.0,0.0,6.8296661376953125,0.48841995000839233,0.01616106741130352,0.9999874234199524,0.0,0.0,False,False
1024,P2,2,1,-4.125150203704834,-1.2566927580337506e-05,1.3750596046447754,1.0988203287124634,3.2972779273986816,0.09261825680732727,0.303232342004776,6.890811920166016,1.1358929872512817,0.003148794174194336,0.9999954104423523,0.0,0.0,False,False
1024,P3,3,2,-4.125150203704834,-1.2566927580337506e-05,0.4016726613044739,0.3532833158969879,0.91318678855896,0.04044395685195923,0.10346624255180359,6.840639114379883,0.6733299493789673,-0.07462817430496216,0.9999917149543762,0.0003662109375,0.0,False,False
1024,P4,4,2,-4.125150203704834,-1.2566927580337506e-05,0.12681612372398376,0.11405844241380692,0.280479371547699,0.01242799125611782,0.03964728116989136,6.8336968421936035,0.5453091859817505,0.014012947678565979,0.9999892711639404,0.0,0.0,False,False
