transition,degree,interval_mode,interval,pin_zero,fit_method,fhe_depth_estimate,validation_loss,perplexity,transition_min,transition_max,frac_transition_lt_0,frac_transition_gt_1,frac_transition_nan,z_min_observed,n_degenerate_heads,wall_seconds,peak_gpu_memory_gb,delta_perplexity,delta_loss
exact,,,,,,n/a (transcendental),3.1020052604389408,22.24250861456986,0.0,1.0,0.0,0.0,0.0,-263700.03125,,226.2862319946289,nan,0.0,0.0
poly2,2,global,"[-8,0]",False,chebyshev,1,nan,inf,-0.05947786569595337,387122976.0,0.0007476806640625,0.004136827256944444,0.7916666666666666,-130085.734375,,1.3676888942718506,nan,inf,nan
poly3,3,global,"[-8,0]",False,chebyshev,2,nan,inf,-17412022861824.0,0.8958911299705505,0.005467732747395833,0.0,0.7916666666666666,-138995.40625,,1.346235990524292,nan,inf,nan
poly4,4,global,"[-8,0]",False,chebyshev,2,nan,inf,-0.009674549102783203,6.107205038327726e+17,0.00020853678385416666,0.0043487548828125,0.7916666666666666,-143401.140625,,1.4893958568572998,nan,inf,nan
poly2,2,global,"[-8,0]",True,chebyshev,1,nan,inf,-0.480185866355896,1332368128.0,0.0019056532118055555,0.004406399197048611,0.7916666666666666,-130474.7578125,,1.4791991710662842,nan,inf,nan
poly3,3,global,"[-8,0]",True,chebyshev,2,nan,inf,-41010059018240.0,1.0,0.005669487847222222,0.0,0.7916666666666666,-133128.453125,,1.3534867763519287,nan,inf,nan
poly4,4,global,"[-8,0]",True,chebyshev,2,nan,inf,-0.07582426071166992,1.0655696351070781e+18,0.00033738878038194444,0.004347059461805556,0.7916666666666666,-134531.984375,,1.42460298538208,nan,inf,nan
poly2,2,per-head,per-head,True,chebyshev,1,3.1018577916259367,22.23922878006883,-0.125,3.384486198425293,0.0013766253436053241,3.5321270978009257e-07,0.0,-263245.65625,1,175.29830408096313,nan,-0.0032798345010291996,-0.00014746881300409242
poly3,3,per-head,per-head,True,chebyshev,2,3.101858712423504,22.23924925790602,-14.724655151367188,1.0,0.007669138025354456,0.0,0.0,-263698.125,1,177.86301803588867,nan,-0.0032593566638396965,-0.00014654801543656504
poly4,4,per-head,per-head,True,chebyshev,2,3.101979828129455,22.241942943400222,-0.19417792558670044,69.28739929199219,0.008190225671838832,1.1444091796875e-06,0.0,-263741.53125,1,173.59783506393433,nan,-0.0005656711696389038,-2.5432309485928783e-05
