transition,label,interval_mode,pin_zero,degree,fhe_depth,seq_len,a_min,a_max,frac_a_lt_0,frac_a_gt_1,frac_a_nan,frac_a_inf,z_min,max_state_norm,worst_layer_a_min,max_state_norm_layer
exact,exact,global,False,,n/a (transcendental),128,0.0,0.9999999403953552,0.0,0.0,0.0,0.0,-86113.5625,922.6221923828125,4,7
exact,exact,global,False,,n/a (transcendental),512,0.0,1.0,0.0,0.0,0.0,0.0,-135117.4375,847.0463256835938,4,7
exact,exact,global,False,,n/a (transcendental),1024,0.0,1.0,0.0,0.0,0.0,0.0,-135117.296875,886.1939086914062,4,4
exact,exact,global,False,,n/a (transcendental),2048,0.0,1.0,0.0,0.0,0.0,0.0,-135117.296875,916.5853271484375,4,4
poly2,poly2,global,False,2,1,128,-0.05946081876754761,149006144.0,0.0006306966145833334,0.004204644097222222,0.7916666666666666,0.0,-80708.4921875,267.2487487792969,4,3
poly2,poly2,global,False,2,1,512,-0.05947786569595337,387122240.0,0.0007476806640625,0.0041351318359375,0.7916666666666666,0.0,-130085.609375,307.1605224609375,2,3
poly2,poly2,global,False,2,1,1024,-0.05947786569595337,529295072.0,0.0007273356119791666,0.004099527994791667,0.7916666666666666,0.0,-152107.734375,264.9133605957031,2,3
poly2,poly2,global,False,2,1,2048,-0.05947786569595337,529295072.0,0.0007103814019097222,0.004044850667317708,0.7916666666666666,0.0,-152107.734375,264.9133605957031,2,3
poly4,poly4,global,False,4,2,128,-0.00959920883178711,7.019958689071104e+16,0.00011528862847222222,0.004401312934027778,0.7916666666666666,0.0,-83500.1328125,377.5887145996094,4,3
poly4,poly4,global,False,4,2,512,-0.009673833847045898,6.1072119102754e+17,0.00021192762586805556,0.004331800672743056,0.7916666666666666,0.0,-143401.1875,417.48004150390625,2,3
poly4,poly4,global,False,4,2,1024,-0.009674549102783203,6.184697930658611e+17,0.00020853678385416666,0.004278394911024306,0.7916666666666666,0.0,-143853.875,408.99609375,2,3
poly4,poly4,global,False,4,2,2048,-0.009674549102783203,6.184699992242913e+17,0.00021235148111979166,0.004255930582682292,0.7916666666666666,0.0,-143853.890625,408.99609375,2,3
poly2,poly2/per-head/pin0,per-head,True,2,1,128,-0.12491941452026367,0.9999998807907104,0.001308865017361111,0.0,0.0,0.0,-87251.484375,935.2650756835938,2,7
poly2,poly2/per-head/pin0,per-head,True,2,1,512,-0.12421000003814697,1.0,0.0011342366536458333,0.0,0.0,0.0,-135536.21875,860.4134521484375,2,7
poly2,poly2/per-head/pin0,per-head,True,2,1,1024,-0.1243518590927124,1.0,0.001202053493923611,0.0,0.0,0.0,-135536.171875,892.3172607421875,19,4
poly2,poly2/per-head/pin0,per-head,True,2,1,2048,-0.12499213218688965,1.0,0.001087612575954861,0.0,0.0,0.0,-135536.171875,924.5698852539062,19,4
poly3,poly3/per-head/pin0,per-head,True,3,2,128,-0.17600688338279724,0.9999999403953552,0.007534450954861111,0.0,0.0,0.0,-86289.4296875,924.6685791015625,2,7
poly3,poly3/per-head/pin0,per-head,True,3,2,512,-0.17605000734329224,1.0,0.007008870442708333,0.0,0.0,0.0,-134961.421875,847.707275390625,4,7
poly3,poly3/per-head/pin0,per-head,True,3,2,1024,-0.17604967951774597,1.0,0.007210625542534722,0.0,0.0,0.0,-134961.484375,887.5902709960938,4,4
poly3,poly3/per-head/pin0,per-head,True,3,2,2048,-0.17605039477348328,1.0,0.00675201416015625,0.0,0.0,0.0,-134961.484375,918.35986328125,19,4
poly4,poly4/per-head/pin0,per-head,True,4,2,128,-0.1941642463207245,0.9999999403953552,0.00848388671875,0.0,0.0,0.0,-86189.9140625,923.7219848632812,19,7
poly4,poly4/per-head/pin0,per-head,True,4,2,512,-0.1940644383430481,1.0,0.007493760850694444,0.0,0.0,0.0,-135013.859375,847.1273803710938,19,7
poly4,poly4/per-head/pin0,per-head,True,4,2,1024,-0.19413310289382935,1.0,0.007364908854166667,0.0,0.0,0.0,-135013.890625,886.8933715820312,2,4
poly4,poly4/per-head/pin0,per-head,True,4,2,2048,-0.19416603446006775,1.0,0.007642957899305556,0.0,0.0,0.0,-135013.890625,917.4959106445312,4,4
